Proteins	Accession	MW	EMT.RB3.01	EMT.RB3.02	EMT.RB3.03	EMT.RB4.01	EMT.RB4.02	EMT.RB4.03	Ctrl.RB3.01	Ctrl.RB3.02	Ctrl.RB3.03	Ctrl.RB4.01	Ctrl.RB4.02	Ctrl.RB4.03
Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1	C1QBP_HUMAN	31 kDa	15	12	12	14	11	13	18	20	16	23	20	21
Aspartate aminotransferase, cytoplasmic OS=Homo sapiens GN=GOT1 PE=1 SV=3	AATC_HUMAN	46 kDa	14	11	14	14	14	13	16	19	21	22	18	19
Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4	PSB6_HUMAN	25 kDa	13	13	14	15	13	13	21	15	17	15	11	14
Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6	K1C10_HUMAN	59 kDa	11	12	13	0	0	0	1	2	0	46	43	41
Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2	BMP1_HUMAN	111 kDa	16	18	13	20	18	17	8	10	8	20	14	12
Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3	PUR9_HUMAN	65 kDa	11	12	13	13	11	7	24	24	16	12	11	11
Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3	BLVRB_HUMAN	22 kDa	11	11	11	11	9	11	26	26	23	23	17	20
Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2	ROA3_HUMAN	40 kDa	9	16	11	9	9	12	16	16	16	10	13	13
Glycogen phosphorylase, liver form OS=Homo sapiens GN=PYGL PE=1 SV=4	PYGL_HUMAN	97 kDa	19	19	19	20	32	29	5	5	4	5	4	4
Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1	PCNA_HUMAN	29 kDa	11	12	13	11	13	15	15	18	19	10	14	16
Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3	YBOX1_HUMAN	36 kDa	16	14	13	15	15	14	14	14	12	16	13	16
Matrilin-2 OS=Homo sapiens GN=MATN2 PE=1 SV=4	MATN2_HUMAN	107 kDa	14	11	8	15	11	12	15	17	14	14	13	12
Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2	SYWC_HUMAN	53 kDa	12	11	12	13	12	10	24	20	12	14	14	11
Nidogen-1 OS=Homo sapiens GN=NID1 PE=1 SV=3	NID1_HUMAN	136 kDa	20	26	26	28	29	25	1	0	1	0	2	1
Proteasome subunit beta type-3 OS=Homo sapiens GN=PSMB3 PE=1 SV=2	PSB3_HUMAN	23 kDa	11	7	10	12	12	10	13	19	14	18	14	15
Glutamate--cysteine ligase catalytic subunit OS=Homo sapiens GN=GCLC PE=1 SV=2	GSH1_HUMAN	73 kDa	4	5	3	4	3	2	28	29	27	25	18	18
Transforming growth factor beta-1 OS=Homo sapiens GN=TGFB1 PE=1 SV=2	TGFB1_HUMAN	44 kDa	15	19	20	18	18	18	10	9	10	14	11	9
Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2	IF4B_HUMAN	69 kDa	12	12	14	13	12	11	12	18	14	19	15	15
Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2	ROAA_HUMAN	36 kDa	18	15	13	17	10	15	15	17	12	19	16	12
60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1	RL12_HUMAN	18 kDa	13	14	12	13	13	15	20	20	18	18	16	14
Interstitial collagenase OS=Homo sapiens GN=MMP1 PE=1 SV=3	MMP1_HUMAN	54 kDa	25	24	29	30	26	31	0	0	0	0	0	0
Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4	PSB4_HUMAN	29 kDa	10	12	9	8	10	9	16	14	12	11	10	9
Fibrillin-1 OS=Homo sapiens GN=FBN1 PE=1 SV=3	FBN1_HUMAN	312 kDa	17	18	13	27	23	16	4	9	4	9	11	7
A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4	AKA12_HUMAN	191 kDa	18	12	12	14	13	13	13	11	8	19	11	12
Early placenta insulin-like peptide OS=Homo sapiens GN=INSL4 PE=1 SV=1	INSL4_HUMAN	15 kDa	6	8	7	7	8	3	24	24	18	25	21	20
Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2	LMNB1_HUMAN	66 kDa	24	22	17	18	22	18	11	16	10	12	10	10
Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2	MYL6_HUMAN	17 kDa	21	20	17	20	22	17	13	14	8	10	7	7
60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RLA2_HUMAN	12 kDa	14	14	12	13	8	10	22	19	16	18	11	12
Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1	ZYX_HUMAN	61 kDa	12	18	22	16	18	20	12	15	12	5	10	8
Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6	HNRPU_HUMAN	91 kDa	15	21	21	17	11	16	10	6	9	7	10	9
Chromobox protein homolog 3 OS=Homo sapiens GN=CBX3 PE=1 SV=4	CBX3_HUMAN	21 kDa	14	13	12	14	11	15	16	14	16	12	10	11
Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4 PE=1 SV=3	RBBP4_HUMAN	48 kDa	15	13	13	16	7	5	11	16	9	7	6	5
Syndecan-4 OS=Homo sapiens GN=SDC4 PE=1 SV=2	SDC4_HUMAN	22 kDa	11	10	11	12	13	13	16	15	15	19	15	19
Acyl-CoA-binding protein OS=Homo sapiens GN=DBI PE=1 SV=2	ACBP_HUMAN	10 kDa	14	13	11	13	12	12	15	21	11	15	14	14
UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3	KCY_HUMAN	22 kDa	19	14	13	16	13	12	15	16	10	16	11	11
Deoxyribonuclease-2-alpha OS=Homo sapiens GN=DNASE2 PE=1 SV=2	DNS2A_HUMAN	40 kDa	9	13	12	14	10	9	16	16	13	16	17	16
Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2	SFPQ_HUMAN	76 kDa	9	12	8	8	11	6	12	14	15	7	6	10
Insulin-like growth factor-binding protein-like 1 OS=Homo sapiens GN=IGFBPL1 PE=2 SV=1	IBPL1_HUMAN	29 kDa	8	9	8	9	10	8	15	14	15	18	16	18
Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=1	TPM3_HUMAN	33 kDa	30	40	38	35	33	38	26	30	17	21	20	22
Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1	ENPL_HUMAN	92 kDa	11	12	13	17	9	15	27	27	25	13	11	11
Protocadherin Fat 1 OS=Homo sapiens GN=FAT1 PE=1 SV=2	FAT1_HUMAN	506 kDa	3	3	4	8	4	4	12	17	14	26	12	16
Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	RS27A_HUMAN	18 kDa	6	8	8	4	5	7	14	13	9	11	10	12
NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1	NQO1_HUMAN	31 kDa	11	10	10	9	5	9	20	25	17	16	16	14
Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1 PE=1 SV=2	PAIRB_HUMAN	45 kDa	13	11	12	11	10	11	13	15	15	13	12	12
Pyridoxal kinase OS=Homo sapiens GN=PDXK PE=1 SV=1	PDXK_HUMAN	35 kDa	14	12	14	12	13	13	12	16	13	12	15	11
Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2	IPYR_HUMAN	33 kDa	12	10	11	12	10	10	16	16	12	11	11	11
UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1	RD23B_HUMAN	43 kDa	10	13	11	12	13	9	20	11	16	2	11	9
Putative RNA-binding protein 3 OS=Homo sapiens GN=RBM3 PE=1 SV=1	RBM3_HUMAN	17 kDa	12	16	13	12	14	9	19	13	13	13	12	15
Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 OS=Homo sapiens GN=GCNT3 PE=2 SV=1	GCNT3_HUMAN	51 kDa	1	3	1	1	1	1	27	26	26	15	16	16
Choriogonadotropin subunit beta variant 1 OS=Homo sapiens GN=CGB1 PE=2 SV=3	CGB1_HUMAN (+2)	20 kDa	22	23	21	26	23	24	0	0	0	2	0	3
Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2	ML12A_HUMAN	20 kDa	15	14	16	16	14	13	13	12	13	11	11	10
ProSAAS OS=Homo sapiens GN=PCSK1N PE=1 SV=1	PCSK1_HUMAN	27 kDa	13	13	13	9	11	14	16	15	16	19	14	13
Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens GN=PAFAH1B1 PE=1 SV=2	LIS1_HUMAN	47 kDa	12	11	13	14	12	11	14	15	11	14	14	13
Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3	MAP4_HUMAN	121 kDa	5	7	6	5	7	4	7	11	5	11	13	10
40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3	RS12_HUMAN	15 kDa	9	11	12	16	13	7	21	21	13	8	6	7
Fibrinogen gamma chain OS=Homo sapiens GN=FGG PE=1 SV=3	FIBG_HUMAN	52 kDa	0	0	0	0	0	0	31	31	23	22	20	17
Protein S100-A10 OS=Homo sapiens GN=S100A10 PE=1 SV=2	S10AA_HUMAN	11 kDa	10	10	9	10	12	8	14	13	9	10	8	7
Platelet factor 4 OS=Ovis aries GN=PF4 PE=1 SV=1	PLF4_SHEEP	9 kDa	7	10	5	9	7	7	13	6	3	9	15	9
Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2	FIBB_HUMAN	56 kDa	0	0	0	0	0	0	25	25	23	18	16	19
Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3	TBCA_HUMAN	13 kDa	9	15	12	11	10	12	14	11	9	7	9	11
Trypsin OS=Sus scrofa PE=1 SV=1	TRYP_PIG	24 kDa	15	14	6	15	12	7	9	6	6	6	4	4
Ganglioside GM2 activator OS=Homo sapiens GN=GM2A PE=1 SV=4	SAP3_HUMAN	21 kDa	10	10	5	8	8	9	10	6	10	5	12	12
Vitamin D-binding protein OS=Bos taurus GN=GC PE=2 SV=1	VTDB_BOVIN	53 kDa	12	9	6	11	11	4	7	3	8	7	12	8
L-lactate dehydrogenase A-like 6B OS=Homo sapiens GN=LDHAL6B PE=1 SV=3	LDH6B_HUMAN	42 kDa	11	10	10	20	7	11	13	14	11	17	9	12
Oncostatin-M-specific receptor subunit beta OS=Homo sapiens GN=OSMR PE=1 SV=1	OSMR_HUMAN	111 kDa	6	10	8	8	7	8	17	14	14	18	16	22
Beta-enolase OS=Homo sapiens GN=ENO3 PE=1 SV=4	ENOB_HUMAN	47 kDa	66	60	51	73	55	42	86	79	50	106	78	60
Xylosyltransferase 1 OS=Homo sapiens GN=XYLT1 PE=1 SV=1	XYLT1_HUMAN	108 kDa	20	18	17	25	25	22	0	0	0	0	0	0
Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	CO1A1_HUMAN	139 kDa	20	17	18	23	22	24	0	0	0	0	0	0
Tumor necrosis factor-inducible gene 6 protein OS=Homo sapiens GN=TNFAIP6 PE=1 SV=2	TSG6_HUMAN	31 kDa	20	20	18	28	26	27	0	0	0	0	0	0
60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3	RL5_HUMAN	34 kDa	13	12	10	8	9	14	8	9	10	6	9	11
Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5	TIF1B_HUMAN	89 kDa	11	15	12	11	10	12	15	15	11	6	3	8
Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4	MIF_HUMAN (+2)	12 kDa	13	13	9	10	6	6	14	12	12	11	10	9
Serotransferrin OS=Bos taurus GN=TF PE=2 SV=1	TRFE_BOVIN	78 kDa	1	1	1	8	3	4	14	10	9	33	30	23
Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3	PRDX3_HUMAN	28 kDa	12	13	14	12	9	8	14	12	12	17	11	11
Alpha-galactosidase A OS=Homo sapiens GN=GLA PE=1 SV=1	AGAL_HUMAN	49 kDa	4	5	4	12	5	7	19	18	16	18	14	15
Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1	UB2L3_HUMAN	18 kDa	6	10	9	3	3	11	13	13	12	10	10	9
Disintegrin and metalloproteinase domain-containing protein 19 OS=Homo sapiens GN=ADAM19 PE=1 SV=3	ADA19_HUMAN	105 kDa	21	20	20	20	19	19	0	0	0	0	0	0
Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1	S10A4_HUMAN	12 kDa	8	10	11	9	9	8	18	13	14	11	14	15
Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2	ECM1_HUMAN	61 kDa	17	20	19	25	19	17	1	0	1	4	4	2
Lysosomal protective protein OS=Homo sapiens GN=CTSA PE=1 SV=2	PPGB_HUMAN	54 kDa	9	7	8	4	8	6	15	12	11	15	16	11
Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3	ILF3_HUMAN	95 kDa	10	18	13	10	9	10	10	13	7	5	2	2
TITIN_HUMAN-DECOY	TITIN_HUMAN-DECOY	?	0	0	1	0	0	0	0	1	2	0	0	1
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase OS=Homo sapiens GN=B3GNT1 PE=1 SV=1	B3GN1_HUMAN	47 kDa	9	11	9	6	6	8	14	14	9	14	14	13
Collagen alpha-1(XVIII) chain OS=Homo sapiens GN=COL18A1 PE=1 SV=5	COIA1_HUMAN	178 kDa	7	7	6	14	11	8	10	14	8	15	12	12
Metallothionein-2 OS=Homo sapiens GN=MT2A PE=1 SV=1	MT2_HUMAN (+1)	6 kDa	17	15	14	17	18	19	4	5	6	6	5	7
Matrilysin OS=Homo sapiens GN=MMP7 PE=1 SV=1	MMP7_HUMAN	30 kDa	0	0	0	0	0	0	24	14	19	12	22	18
Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2	PCBP1_HUMAN	37 kDa	7	9	13	12	11	9	18	15	15	12	8	9
CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1	CD59_HUMAN	14 kDa	16	14	14	14	15	12	7	11	6	10	12	9
UDP-glucose 6-dehydrogenase OS=Homo sapiens GN=UGDH PE=1 SV=1	UGDH_HUMAN	55 kDa	13	13	12	10	11	9	13	15	12	6	7	5
Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=2	OLA1_HUMAN	45 kDa	10	11	10	8	6	6	13	12	13	15	10	10
Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1	AMBP_HUMAN	39 kDa	0	0	0	0	0	0	23	23	22	25	19	24
Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=1 SV=1	DX39B_HUMAN	49 kDa	11	11	7	9	10	9	19	14	10	9	5	3
Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens GN=LTBP4 PE=1 SV=2	LTBP4_HUMAN	173 kDa	17	15	19	22	18	21	1	3	1	1	2	3
Angiogenin OS=Homo sapiens GN=ANG PE=1 SV=1	ANGI_HUMAN	17 kDa	0	1	0	0	1	1	18	18	13	13	15	14
SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1	UBC9_HUMAN	18 kDa	15	12	10	10	12	12	11	13	8	10	11	9
Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1	PDC6I_HUMAN	96 kDa	12	12	11	12	8	9	16	11	8	16	7	4
Aldehyde dehydrogenase, dimeric NADP-preferring OS=Homo sapiens GN=ALDH3A1 PE=1 SV=3	AL3A1_HUMAN	50 kDa	1	0	2	4	1	2	23	18	21	20	15	20
Transgelin OS=Homo sapiens GN=TAGLN PE=1 SV=4	TAGL_HUMAN	23 kDa	23	28	25	18	19	22	0	0	0	0	0	0
Carbonic anhydrase 12 OS=Homo sapiens GN=CA12 PE=1 SV=1	CAH12_HUMAN	39 kDa	4	4	3	5	5	4	15	14	17	16	15	15
Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2	TFR1_HUMAN	85 kDa	0	0	1	1	1	1	18	24	17	27	20	25
RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1	RBM8A_HUMAN	20 kDa	12	7	12	9	9	10	11	11	15	9	10	12
Thioredoxin-like protein 1 OS=Homo sapiens GN=TXNL1 PE=1 SV=3	TXNL1_HUMAN	32 kDa	12	14	12	8	6	7	14	15	14	12	12	11
Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1	TEBP_HUMAN	19 kDa	11	9	9	7	6	8	10	11	11	10	8	10
Chitinase domain-containing protein 1 OS=Homo sapiens GN=CHID1 PE=1 SV=1	CHID1_HUMAN	45 kDa	2	4	5	4	2	3	16	18	14	16	16	18
Trans-Golgi network integral membrane protein 2 OS=Homo sapiens GN=TGOLN2 PE=1 SV=2	TGON2_HUMAN	51 kDa	8	10	8	9	9	9	14	12	9	11	10	11
Alcohol dehydrogenase [NADP(+)] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3	AK1A1_HUMAN	37 kDa	9	8	9	8	11	11	14	11	10	13	11	13
Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6	CAN2_HUMAN	80 kDa	21	15	18	18	11	9	9	7	4	3	6	3
Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2	RTN4_HUMAN	130 kDa	10	14	13	17	10	8	10	7	5	8	7	12
Tropomyosin beta chain OS=Homo sapiens GN=TPM2 PE=1 SV=1	TPM2_HUMAN	33 kDa	35	47	47	44	48	49	45	44	36	43	36	39
Collagen alpha-1(XXII) chain OS=Homo sapiens GN=COL22A1 PE=1 SV=2	COMA1_HUMAN	161 kDa	17	17	16	17	24	19	0	0	0	0	0	0
Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4	IPO5_HUMAN	124 kDa	7	9	6	12	9	8	9	11	7	7	5	6
14 kDa phosphohistidine phosphatase OS=Homo sapiens GN=PHPT1 PE=1 SV=1	PHP14_HUMAN	14 kDa	11	14	10	13	9	11	7	9	9	11	9	12
Nucleobindin-2 OS=Homo sapiens GN=NUCB2 PE=1 SV=2	NUCB2_HUMAN	50 kDa	4	4	4	9	6	7	12	14	13	13	13	13
Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4	PEDF_HUMAN	46 kDa	12	19	16	18	16	16	2	3	1	9	6	4
40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4	RSSA_HUMAN	33 kDa	11	13	11	12	7	9	12	14	11	12	9	7
Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2	K22E_HUMAN	65 kDa	14	16	11	1	0	0	2	0	0	41	36	34
Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5 PE=1 SV=3	PDCD5_HUMAN	14 kDa	7	9	7	10	8	9	12	13	10	13	9	11
Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens GN=FKBP1A PE=1 SV=2	FKB1A_HUMAN (+1)	12 kDa	11	11	11	9	7	9	10	11	8	11	10	8
Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5	IF4H_HUMAN	27 kDa	8	10	9	8	8	10	11	9	13	11	8	9
Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3	HNRPF_HUMAN	46 kDa	13	13	11	14	9	8	13	11	8	9	5	5
Insulin-like growth factor II OS=Homo sapiens GN=IGF2 PE=1 SV=1	IGF2_HUMAN	20 kDa	14	14	13	12	11	13	10	7	10	6	10	8
Hematological and neurological expressed 1 protein OS=Homo sapiens GN=HN1 PE=1 SV=3	HN1_HUMAN	16 kDa	10	8	11	10	9	10	15	10	12	11	9	7
Carbohydrate sulfotransferase 11 OS=Homo sapiens GN=CHST11 PE=1 SV=1	CHSTB_HUMAN	42 kDa	14	16	15	19	20	20	0	0	0	1	1	0
Semaphorin-3C OS=Homo sapiens GN=SEMA3C PE=1 SV=2	SEM3C_HUMAN	85 kDa	5	10	8	12	7	7	10	8	10	11	8	10
Tubulin-folding cofactor B OS=Homo sapiens GN=TBCB PE=1 SV=2	TBCB_HUMAN	27 kDa	7	9	8	7	7	6	10	16	10	9	8	5
Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=1 SV=1	NACA_HUMAN	23 kDa	10	9	9	6	8	6	14	15	11	12	8	9
Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1	PDIA6_HUMAN	48 kDa	6	6	6	7	6	7	13	13	14	15	9	10
Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2	GRP75_HUMAN	74 kDa	9	12	12	7	6	7	11	15	15	12	6	6
Kininogen-1 OS=Bos taurus GN=KNG1 PE=1 SV=1	KNG1_BOVIN	69 kDa	10	7	9	9	8	6	10	3	5	9	9	4
28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1	HAP28_HUMAN	21 kDa	10	9	9	7	6	8	10	10	12	13	12	12
Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1	ERH_HUMAN	12 kDa	7	10	7	6	6	8	9	12	5	7	6	5
Adenosine deaminase OS=Homo sapiens GN=ADA PE=1 SV=3	ADA_HUMAN	41 kDa	10	12	10	12	12	11	8	8	6	8	10	12
ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1	NUDT5_HUMAN	24 kDa	6	10	10	4	7	8	12	10	11	13	10	12
Lysosomal alpha-glucosidase OS=Homo sapiens GN=GAA PE=1 SV=4	LYAG_HUMAN	105 kDa	5	5	3	4	4	2	15	14	11	16	12	12
X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3	XRCC5_HUMAN	83 kDa	10	8	10	2	9	4	13	15	6	4	2	3
Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3	ARC1B_HUMAN	41 kDa	15	15	13	12	9	10	8	8	8	7	5	6
Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1	IF6_HUMAN	27 kDa	9	9	5	4	4	6	15	13	11	15	8	9
Protein CDV3 homolog OS=Homo sapiens GN=CDV3 PE=1 SV=1	CDV3_HUMAN	27 kDa	9	6	6	8	7	8	10	8	11	9	4	7
Major prion protein OS=Homo sapiens GN=PRNP PE=1 SV=1	PRIO_HUMAN	28 kDa	11	12	10	11	10	11	8	8	7	9	9	7
Neuronal pentraxin receptor OS=Homo sapiens GN=NPTXR PE=2 SV=2	NPTXR_HUMAN	53 kDa	14	18	14	13	11	14	2	1	1	1	0	4
Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3	ARPC3_HUMAN	21 kDa	5	7	8	8	8	5	7	12	4	2	6	2
Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens GN=ANP32B PE=1 SV=1	AN32B_HUMAN	29 kDa	10	10	10	7	7	5	24	21	21	16	10	11
Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3	EIF3B_HUMAN	92 kDa	10	5	8	4	8	5	14	9	9	8	5	6
Very low-density lipoprotein receptor OS=Homo sapiens GN=VLDLR PE=1 SV=1	VLDLR_HUMAN	96 kDa	7	10	10	12	11	12	6	6	6	7	8	11
Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1	QOR_HUMAN	35 kDa	4	8	8	9	8	7	7	10	8	15	8	7
Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens GN=LRRFIP1 PE=1 SV=2	LRRF1_HUMAN	89 kDa	6	7	7	9	8	7	10	12	10	14	10	10
Liver carboxylesterase 1 OS=Homo sapiens GN=CES1 PE=1 SV=2	EST1_HUMAN	63 kDa	1	2	1	1	3	3	7	9	4	13	10	8
Interleukin-11 OS=Homo sapiens GN=IL11 PE=1 SV=1	IL11_HUMAN	21 kDa	13	15	16	21	15	15	0	0	0	0	0	0
Ribonuclease T2 OS=Homo sapiens GN=RNASET2 PE=1 SV=2	RNT2_HUMAN	29 kDa	4	5	5	6	4	4	11	10	8	8	11	10
Tumor necrosis factor receptor superfamily member 1A OS=Homo sapiens GN=TNFRSF1A PE=1 SV=1	TNR1A_HUMAN	50 kDa	5	8	8	8	7	6	9	8	5	8	14	13
Density-regulated protein OS=Homo sapiens GN=DENR PE=1 SV=2	DENR_HUMAN	22 kDa	9	11	6	10	10	9	8	8	6	7	5	6
Ephrin-A5 OS=Homo sapiens GN=EFNA5 PE=1 SV=1	EFNA5_HUMAN	26 kDa	2	4	2	3	5	4	11	11	5	10	10	11
D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3	DOPD_HUMAN	13 kDa	8	8	8	5	6	6	7	10	10	9	7	10
Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1	VTNC_HUMAN	54 kDa	1	2	3	5	2	4	11	16	11	11	14	9
S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1	METK2_HUMAN	44 kDa	10	6	9	7	7	8	14	10	8	9	6	4
Fructose-bisphosphate aldolase C OS=Homo sapiens GN=ALDOC PE=1 SV=2	ALDOC_HUMAN	39 kDa	24	20	20	23	18	24	34	27	25	21	24	21
Chloride intracellular channel protein 4 OS=Homo sapiens GN=CLIC4 PE=1 SV=4	CLIC4_HUMAN	29 kDa	10	12	7	15	12	8	6	3	5	8	4	4
Secretogranin-2 OS=Homo sapiens GN=SCG2 PE=1 SV=2	SCG2_HUMAN	71 kDa	15	17	16	9	15	12	1	1	1	0	0	0
Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1	BLMH_HUMAN	53 kDa	8	6	5	12	8	10	5	6	6	8	5	6
Chromobox protein homolog 1 OS=Homo sapiens GN=CBX1 PE=1 SV=1	CBX1_HUMAN	21 kDa	11	12	11	11	12	10	11	10	11	9	7	8
C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2	MRC2_HUMAN	167 kDa	15	13	9	11	7	8	4	5	2	5	6	5
RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1	EWS_HUMAN	68 kDa	9	10	9	6	10	6	9	10	10	7	8	6
Glutaredoxin-3 OS=Homo sapiens GN=GLRX3 PE=1 SV=2	GLRX3_HUMAN	37 kDa	9	7	7	8	9	7	8	9	6	6	9	8
Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1	HNRPR_HUMAN	71 kDa	18	21	20	16	20	18	14	17	14	11	12	12
Clathrin light chain A OS=Homo sapiens GN=CLTA PE=1 SV=1	CLCA_HUMAN	27 kDa	4	8	5	6	8	7	10	9	6	3	6	7
